SubG,Name,n_Name,Mass,sigma*,e_sigma*,E_sigma*,l_sigma*,vsini*,e_vsini*,M_HI,sigHI,e_sigHI,l_sigHI,v_HI,e_v_HI,l_v_HI,Mdyn
"M31 ","Andromeda II","A  ",7.6,7.3,0.8,0.8,"  ",,,,,, ,,,"  ",36.0
"M31 ","NGC 185","A  ",68.0,24.0,1.0,1.0,"  ",15.0,5.0,0.11,15.3,0.8, ,,,"  ",150.0
"M31 ","Andromeda XXIX","A  ",0.18,,,,"  ",,,,,, ,,,"  ",
"M31 ","Andromeda XIX","A  ",0.43,,,,"  ",,,,,, ,,,"  ",
"M31 ","Triangulum","A  ",2900.0,,,,"  ",,,,,, ,,,"  ",
"M31 ","Andromeda XXIV","A  ",0.093,,,,"  ",,,,,, ,,,"  ",
"M31 ","Andromeda VII","A  ",9.5,9.7,1.6,1.6,"  ",,,,,, ,,,"  ",42.0
"M31 ","Andromeda XXII","A  ",0.034,,,,"  ",,,,,, ,,,"  ",
"M31 ","IC 10","A  ",86.0,,,,"  ",,,50.0,8.0,1.0, ,34.0,5.0,"  ",
"M31 ","LGS 3 (Local Group Suspect 3)","A  ",0.96,7.9,2.9,5.3,"  ",,,0.38,9.1,0.3, ,5.0,,"<=",17.0
"M31 ","Andromeda VI","A  ",2.8,9.4,2.4,3.2,"  ",,,,,, ,,,"  ",
"M31 ","Andromeda XVI","A,L",0.41,10.0,,,"<=",,,,,, ,,,"  ",7.9
"Rest","Andromeda XXVIII","A,L",0.21,,,,"  ",,,,,, ,,,"  ",
"Rest","IC 1613","L  ",100.0,,,,"  ",,,65.0,25.0,3.0, ,5.9,1.0,"  ",
"Rest","Phoenix","L,G",0.77,,,,"  ",,,0.12,10.0,4.0, ,,,"  ",
"Rest","NGC 6822","L,G",100.0,,,,"  ",,,130.0,5.8,1.9, ,47.0,2.0,"  ",
"Rest","Cetus","L  ",2.6,17.0,2.0,2.0,"  ",7.7,1.2,,,, ,,,"  ",120.0
"Rest","Pegasus dIrr","L,A",6.61,,,,"  ",,,5.9,9.0,,<,21.0,,"  ",
"Rest","Leo T","L,G",0.14,7.5,1.6,1.6,"  ",,,0.28,6.9,1.0, ,,,"  ",3.9
"Rest","WLM (Wolf-Lundmark-Melotte)","L  ",43.0,17.5,2.0,2.0,"  ",20.8,2.0,61.0,4.5,1.0, ,30.0,3.0,"  ",380.0
"Rest","Leo A","L  ",6.0,9.3,1.3,1.3,"  ",,,11.0,9.3,1.4, ,,,"  ",25.0
"Rest","Andromeda XVIII","L  ",0.63,,,,"  ",,,,,, ,,,"  ",
"Rest","Aquarius","L  ",1.6,,,,"  ",,,4.1,5.8,0.1, ,,,"  ",
"Rest","Tucana","L  ",0.56,15.8,3.1,4.1,"  ",,,,,, ,,,"  ",41.0
"Rest","Sagittarius dIrr","L  ",3.5,,,,"  ",,,8.8,10.0,1.0, ,,,"  ",
"Rest","UGC 4879","L  ",8.3,,,,"  ",,,0.95,11.0,1.1, ,,,"  ",
"Rest","NGC 3109","N  ",76.0,,,,"  ",,,450.0,10.0,, ,72.4,0.5,"  ",
"Rest","Sextans B","N  ",52.0,,,,"  ",,,51.0,18.0,,<,71.0,,"  ",
"Rest","Antlia","N  ",1.3,,,,"  ",,,0.73,6.4,0.7, ,,,"  ",
"Rest","Sextans A","N  ",44.0,,,,"  ",,,77.0,8.0,1.0, ,20.0,2.0,"  ",
"Rest","HIZSS 3(A)","N  ",,,,,"  ",,,14.0,,, ,42.0,4.0,"  ",
"Rest","HIZSS 3B","N  ",,,,,"  ",,,2.6,,, ,,,"  ",
"Rest","KKR 25","N  ",1.4,,,,"  ",,,,,, ,,,"  ",
"Rest","ESO 410- G 005","N  ",3.5,,,,"  ",,,0.73,14.2,0.6, ,,,"  ",
"Rest","NGC 55","N  ",2200.0,,,,"  ",,,1300.0,,, ,86.0,6.0,"  ",
"Rest","ESO 294- G 010","N  ",2.7,,,,"  ",,,0.34,9.7,0.9, ,,,"  ",
"Rest","NGC 300","N  ",2100.0,,,,"  ",,,1800.0,13.0,5.0, ,98.8,3.1,"  ",
"Rest","IC 5152","N  ",270.0,,,,"  ",,,87.0,,, ,,,"  ",
"Rest","KKH 98","N  ",4.5,,,,"  ",,,6.6,,, ,,,"  ",
"Rest","UKS 2323-326","N  ",17.0,,,,"  ",,,17.0,,, ,,,"  ",
"Rest","KKR 3","N  ",0.54,,,,"  ",,,2.5,7.5,0.5, ,,,"  ",
"Rest","GR 8","N  ",6.4,,,,"  ",,,11.0,7.0,0.2, ,,,"  ",
"Rest","UGC 9128","N  ",7.8,,,,"  ",,,18.0,15.0,,<,56.0,,"  ",
"Rest","UGC 8508","N  ",19.0,,,,"  ",,,29.0,,, ,31.2,2.3,"  ",
"Rest","IC 3104","N  ",62.0,,,,"  ",,,13.0,,, ,,,"  ",
"Rest","DDO 125","N  ",47.0,,,,"  ",,,35.0,7.3,1.5, ,11.2,2.7,"  ",
"Rest","UGCA 86","N  ",16.0,,,,"  ",,,860.0,8.8,1.0, ,122.0,5.0,"  ",
"Rest","DDO 99","N  ",16.0,,,,"  ",,,52.0,,, ,,,"  ",
"Rest","IC 4662","N  ",190.0,,,,"  ",,,180.0,,, ,,,"  ",
"Rest","DDO 190","N  ",51.0,,,,"  ",,,43.0,10.0,2.4, ,24.7,2.5,"  ",
"Rest","KKH 86","N  ",0.82,,,,"  ",,,0.88,,, ,,,"  ",
