SubG,Name,OName,SimbadName,n_Name,MType,RAJ2000,DEJ2000,Ref1,f_Ref1
M31,Andromeda XVII,,Andromeda XVII,A,dSph,9.279166666666665,44.322222222222216,323,
M31,Andromeda I,,Andromeda I,A,dSph,11.415833333333332,38.04111111111111,324,
M31,Andromeda XXVII,,Andromeda XXVII,A,dSph,9.362916666666665,45.38694444444444,325,
M31,Andromeda III,,Andromeda III,A,dSph,8.890833333333331,36.49777777777777,324,
M31,Andromeda XXV,,Andromeda XXV,A,dSph,7.5370833333333325,46.851944444444435,325,
M31,Andromeda XXVI,,Andromeda XXVI,A,dSph,5.9399999999999995,47.91611111111111,325,
M31,Andromeda XI,,Andromeda XI,A,dSph,11.583333333333332,33.80138888888889,326,
M31,Andromeda V,,Andromeda V,A,dSph,17.57125,47.62805555555555,327,
M31,Andromeda X,,Andromeda X,A,dSph,16.640416666666663,44.804444444444435,328,
M31,Andromeda XXIII,,Andromeda XXIII,A,dSph,22.34083333333333,38.718888888888884,325,
M31,Andromeda XX,,Andromeda XX,A,dSph,1.8779166666666665,35.13222222222222,329,
M31,Andromeda XII,,Andromeda XII,"A,L",dSph,11.862499999999999,34.37472222222222,326,
M31,NGC 147,"UGC 326,DDO 3",NGC 147,A,dE/dSph,8.300416666666665,48.50888888888888,330,
M31,Andromeda XXI,,Andromeda XXI,A,dSph,358.69874999999996,42.470833333333324,331,
M31,Andromeda XIV,,Andromeda XIV,"A,L",dSph,12.895833333333332,29.69694444444444,332,
M31,Andromeda XV,,Andromeda XV,A,dSph,18.577916666666663,38.11749999999999,333,
M31,Andromeda XIII,,Andromeda XIII,A,dSph,12.962499999999999,33.00444444444444,326,
M31,Andromeda II,,Andromeda II,A,dSph,19.124166666666664,33.41916666666666,324,
M31,NGC 185,UGC 396,NGC 185,A,dE/dSph,9.741666666666665,48.33749999999999,334,
M31,Andromeda XXIX,,Andromeda XXIX,A,dSph,359.7316666666666,30.755555555555553,335,
M31,Andromeda XIX,,Andromeda XIX,A,dSph,4.883749999999999,35.043611111111105,329,
M31,Triangulum,"M33,NGC 598,UGC 1117",M 33,A,Sc,23.46208333333333,30.66027777777777,,a
M31,Andromeda XXIV,,Andromeda XXIV,A,dSph,19.624999999999996,46.3661111111111,325,
M31,Andromeda VII,Casseopia dSph,Andromeda VII,A,dSph,351.6320833333333,50.67583333333333,336,
M31,Andromeda XXII,,Andromeda XXII,A,dSph,21.916666666666664,28.090277777777775,331,
M31,IC 10,UGC 192,IC 10,A,dIrr,5.072083333333333,59.30388888888888,337,
M31,LGS 3 (Local Group Suspect 3),Pisces (I),LGS 3,A,dIrr/dSph,15.979166666666664,21.884999999999998,"338,339",
M31,Andromeda VI,Pegasus dSph,Andromeda VI,A,dSph,357.94291666666663,24.582499999999996,"336,340",
M31,Andromeda XVI,,Andromeda XVI,"A,L",dSph,14.874166666666664,32.376666666666665,333,
Rest,Andromeda XXVIII,,Andromeda XXVIII,"A,L",dSph?,338.1716666666666,31.216111111111108,341,
Rest,IC 1613,"DDO 8,UGC 668",IC 1613,L,dIrr,16.199166666666663,2.1177777777777775,342,
Rest,Phoenix,,Phoenix,"L,G",dIrr/dSph,27.776249999999997,-44.44472222222222,343,
Rest,NGC 6822,"IC 4895,DDO 209,Barnard's Galaxy",NGC 6822,"L,G",dIrr,296.2358333333333,-14.789166666666665,344,
Rest,Cetus,,Cetus dSph,L,dSph,6.5458333333333325,-11.044444444444443,345,
Rest,Pegasus dIrr,"UGC 12613,DDO 216",UGC 12613,"L,A",dIrr/dSph,352.15124999999995,14.743055555555554,346,b
Rest,Leo T,,Leo T,"L,G",dIrr/dSph,143.72249999999997,17.051388888888887,347,
Rest,WLM (Wolf-Lundmark-Melotte),"UGCA 444,DDO 221",UGCA 444,L,dIrr,0.49249999999999994,-15.460833333333332,"348,349",
Rest,Leo A,"Leo III,UGC 5364,DDO 69",Leo A,L,dIrr,149.86041666666665,30.746388888888884,350,
Rest,Andromeda XVIII,,Andromeda XVIII,L,dSph,0.5604166666666666,45.08888888888888,329,
Rest,Aquarius,DDO 210,DDO 210,L,dIrr/dSph,311.7158333333333,-12.848055555555554,351,
Rest,Tucana,,TUC DWARF GALAXY,L,dSph,340.4566666666666,-64.41944444444444,352,
Rest,Sagittarius dIrr,UKS 1927-177,SAG DIG,L,dIrr,292.4958333333333,-17.678055555555552,"353,354",
Rest,UGC 4879,VV 124,UGC 4879,L,dIrr/dSph,139.00916666666666,52.83999999999999,355,
Rest,NGC 3109,"DDO 236,UGCA 194",NGC 3109,N,dIrr,150.77874999999997,-26.159722222222218,356,
Rest,Sextans B,"UGC 5373,DDO 70",Sextans B,N,dIrr,150.00041666666664,5.332222222222222,346,e
Rest,Antlia,,ANTLIA DWARF GALAXY,N,dIrr,151.01708333333332,-27.331111111111106,357,
Rest,Sextans A,"UGCA 205,DDO 75",Sextans A,N,dIrr,152.7533333333333,-4.692777777777777,350,
Rest,HIZSS 3(A),,HIZSS 3,N,(d)Irr?,105.12208333333332,-4.208333333333333,358,
Rest,HIZSS 3B,,HIZSS 3,N,(d)Irr?,105.12208333333332,-4.208333333333333,358,
Rest,KKR 25,,LEDA 2801026,N,dIrr/dSph,243.44999999999996,54.371111111111105,359,
Rest,ESO 410- G 005,UKS 0013-324,ESO 410- G 005,N,dIrr/dSph,3.881666666666666,-32.17999999999999,"360,361",
Rest,NGC 55,,NGC 55,N,Irr,3.7233333333333327,-39.19666666666666,362,
Rest,ESO 294- G 010,,ESO 294- G 010,N,dIrr/dSph,6.639166666666665,-41.85527777777777,360,
Rest,NGC 300,,NGC 300,N,Sc,13.722916666666665,-37.68444444444444,362,
Rest,IC 5152,,IC 5152,N,dIrr,330.6729166666666,-51.296388888888885,363,
Rest,KKH 98,,LEDA 2807157,N,dIrr,356.3916666666666,38.71777777777777,364,
Rest,UKS 2323-326,UGCA 438,UKS 2323-32.6,N,dIrr,351.61458333333326,-32.388888888888886,354,
Rest,KKR 3,KK 230,LEDA 166185,N,dIrr,211.79374999999996,35.06027777777777,365,
Rest,GR 8,"UGC 8091,VV 558,DDO 155",UGC 8091,N,dIrr,194.6683333333333,14.217499999999998,366,
Rest,UGC 9128,DDO 187,UGC 9128,N,dIrr,213.98541666666662,23.055277777777775,351,
Rest,UGC 8508,,UGC 8508,N,dIrr,202.68499999999997,54.90999999999999,367,
Rest,IC 3104,"ESO 020- G 004,UKS 1215-794",IC 3104,N,dIrr,184.69166666666663,-79.7261111111111,368,
Rest,DDO 125,UGC 7577,DDO 125,N,dIrr,186.92041666666665,43.49555555555555,351,
Rest,UGCA 86,,UGCA 86,N,dIrr,59.951249999999995,67.1386111111111,369,
Rest,DDO 99,UGC 6817,DDO 99,N,dIrr,177.7208333333333,38.88027777777777,351,
Rest,IC 4662,ESO 102- G 014,IC 4662,N,dIrr,266.78666666666663,-64.64166666666665,370,
Rest,DDO 190,UGC 9240,DDO 190,N,dIrr,216.1808333333333,44.525833333333324,351,
Rest,KKH 86,,LEDA 2807150,N,dIrr,208.6395833333333,4.243055555555555,364,
