# -	-		J2000		J2000		mag		mag		mag		-		-		-		mag/arcsec^2					km/s						mag						-		-		pc						1E6Msun						Msun/Lsun					kpc
# ------	-------------	--------------	--------------	----------------------------------------------	----------------------------------------------	----------------------------------------------	-----------------------------------------------	----------------------------------------------	-------------------------------	----------------------------------------------	-----------------------------------------------	----------------------------------------------	-----------
	 SubG 	       Name 	          RA 	          DEC 	 (m-M) 	 e_(m-M) 	 E_(m-M) 	    e 	  de- 	  de+ 	 mu_vo 	 e_mu_vo 	 E_mu_vo 	 sigma 	 e_sigma 	 E_sigma 	     MV 	 e_MV 	 E_MV 	    n 	  e_n 	     rs 	   e_rs 	  E_rs 	  Mdyn 	 e_Mdyn 	 E_Mdyn 	    ML 	  e_ML 	  E_ML 	 Dmin 	    LV 	  e_LV 	  E_LV 	   Mtot 	 e_Mtot 	 E_Mtot 	 McConnCrossmatch 	
	  ISO 	 And XXXIII 	 03h01m23.6s 	 +40d59m18.0s 	 24.18 	    0.09 	    0.11 	 0.04 	 0.08 	 0.08 	  26.0 	     1.7 	     1.7 	       	         	         	   -8.9 	  1.8 	  1.8 	 0.79 	 0.63 	  276.0 	   41.0 	  41.0 	       	        	        	       	       	       	  341 	  0.31 	  0.51 	  0.51 	    nan 	    nan 	    nan 	            False 	
	  M31 	     Anx XV 	 01h14m18.7s 	 +38d07m03.0s 	 23.98 	    0.12 	    0.26 	 0.24 	  0.1 	  0.1 	  26.1 	     0.3 	     0.3 	   4.0 	     1.4 	     1.4 	   -8.0 	  0.4 	  0.3 	      	      	  230.0 	   25.0 	  35.0 	   3.0 	    2.0 	    3.0 	  48.0 	  29.0 	  53.0 	  176 	 0.136 	  0.05 	  0.05 	    6.5 	    4.6 	    7.6 	             True 
	  ISO 	   Aquarius 	 20h46m51.8s 	 -12d50m53.0s 	 24.97 	    0.05 	    0.05 	 0.52 	 0.05 	 0.05 	  24.7 	     0.9 	     0.9 	   7.8 	     1.1 	     1.8 	 -10.92 	 0.18 	 0.18 	 0.61 	 0.05 	  468.0 	   26.0 	  26.0 	  26.0 	    9.0 	   11.0 	  26.0 	  11.0 	  15.0 	  981 	   2.0 	  0.33 	  0.33 	   52.0 	   24.0 	   31.0 	            False 	
	   MW 	     Carina 	 06h41m36.7s 	 -50d57m58.0s 	 20.11 	    0.13 	    0.13 	 0.37 	 0.01 	 0.01 	 25.35 	    0.07 	    0.07 	   6.7 	     0.3 	     0.3 	  -9.43 	 0.15 	 0.15 	 0.94 	 0.01 	  349.0 	   22.0 	  22.0 	  14.0 	    5.0 	    6.0 	  55.0 	  19.0 	  25.0 	  107 	 0.506 	  0.07 	  0.07 	   28.0 	   10.0 	   13.0 	             True 	
	  ISO 	      Cetus 	 00h26m11.0s 	 -11d02m40.0s 	 24.39 	    0.07 	    0.07 	 0.33 	 0.06 	 0.06 	  25.0 	     0.2 	     0.2 	   8.3 	     1.0 	     1.0 	 -11.29 	 0.21 	 0.21 	      	      	  703.0 	   32.0 	  32.0 	  45.0 	   10.0 	   12.0 	  32.0 	   9.0 	  11.0 	  679 	  2.81 	  0.54 	  0.54 	   90.0 	   31.0 	   35.0 	             True 	
	   MW 	      Draco 	 17h20m12.4s 	 +57d54m55.0s 	  19.4 	    0.17 	    0.17 	  0.3 	 0.01 	 0.01 	 25.12 	    0.07 	    0.07 	   9.1 	     1.2 	     1.2 	  -8.71 	 0.17 	 0.17 	 0.96 	 0.02 	  219.0 	   18.0 	  18.0 	  17.0 	    4.0 	    5.0 	 128.0 	  36.0 	  45.0 	   76 	 0.261 	 0.041 	 0.041 	   33.0 	   11.0 	   13.0 	             True 	
	   MW 	     Fornax 	 02h39m59.3s 	 -34d26m57.0s 	 20.84 	    0.18 	    0.18 	 0.28 	 0.01 	 0.01 	 23.59 	    0.16 	    0.16 	  11.8 	     0.2 	     0.2 	 -13.46 	 0.24 	 0.24 	 0.71 	 0.01 	  788.0 	   69.0 	  69.0 	 100.0 	   16.0 	   19.0 	  10.0 	   2.0 	   3.0 	  149 	  20.7 	   4.6 	   4.6 	  207.0 	   62.0 	   77.0 	             True 	
	  M31 	      IC 10 	 00h20m17.3s 	 +59d18m14.0s 	  24.5 	    0.12 	    0.12 	 0.19 	 0.02 	 0.02 	  24.6 	     0.2 	     0.2 	  35.5 	    16.6 	    16.6 	  -15.0 	  0.2 	  0.2 	      	      	  612.0 	        	       	 716.0 	  511.0 	  796.0 	  17.0 	  12.0 	  20.0 	  252 	  86.0 	  16.0 	  16.0 	 1500.0 	 1100.0 	 1700.0 	            False 	
	  ISO 	    IC 1613 	 01h04m47.8s 	 +02d0.7m4.0s 	 24.18 	    0.06 	    0.06 	  0.2 	 0.05 	 0.05 	  23.3 	     0.4 	     0.4 	  10.8 	     0.9 	     1.0 	 -15.72 	 0.09 	 0.09 	 0.43 	 0.02 	 1511.0 	   42.0 	  42.0 	 164.0 	   28.0 	   31.0 	   2.0 	   0.4 	   0.4 	  503 	 166.0 	  14.0 	  14.0 	  332.0 	   72.0 	   72.0 	            False 	
	  M31 	      LGS 3 	 01h03m55.0s 	 +21d53m06.0s 	 24.43 	    0.07 	    0.07 	  0.2 	  0.1 	  0.1 	  24.8 	     0.1 	     0.1 	   7.9 	     2.9 	     5.3 	 -10.13 	 0.13 	 0.13 	      	      	  470.0 	   47.0 	  47.0 	  27.0 	   21.0 	   36.0 	  58.0 	  49.0 	  90.0 	  268 	  0.96 	  0.12 	  0.12 	   56.0 	   48.0 	   87.0 	             True 	
	  ISO 	      Leo A 	 09h59m26.5s 	 +30d44m47.0s 	 24.28 	    0.05 	    0.05 	 0.42 	 0.05 	 0.05 	  24.0 	     0.6 	     0.6 	   9.0 	     0.6 	     0.8 	  -11.7 	  0.3 	  0.3 	 0.72 	 0.72 	   4.79 	   21.0 	  21.0 	  36.0 	    5.0 	    6.0 	  18.0 	   5.0 	   6.0 	  722 	   4.1 	   1.1 	   1.1 	   74.0 	   29.0 	   32.0 	             True 	
	   MW 	      Leo I 	 10h08m28.1s 	 +12d18m23.0s 	 22.02 	    0.13 	    0.13 	  0.3 	 0.01 	 0.01 	 22.61 	     0.3 	     0.3 	   9.2 	     0.4 	     0.4 	 -11.78 	 0.33 	 0.33 	 0.77 	 0.02 	  243.0 	   15.0 	  15.0 	  19.0 	    2.0 	    2.0 	   9.0 	   2.0 	   3.0 	  257 	   4.4 	   1.3 	   1.3 	   40.0 	   15.0 	   18.0 	             True 	
	   MW 	     Leo II 	 11h13m28.8s 	 +22d09m06.0s 	 21.84 	    0.13 	    0.13 	 0.07 	 0.02 	 0.02 	 24.24 	    0.07 	    0.07 	   6.6 	     0.7 	     0.7 	  -9.74 	 0.16 	 0.16 	 0.71 	 0.02 	  168.0 	   11.0 	  11.0 	   6.8 	    1.4 	    1.6 	  20.0 	   5.0 	   6.0 	  236 	 0.673 	 0.099 	 0.099 	   13.5 	    3.9 	    4.5 	             True 	
	  ISO 	      Leo T 	 09h34m53.4s 	 +17d03m05.0s 	 23.08 	    0.08 	    0.08 	 0.12 	 0.08 	 0.08 	  25.4 	     1.3 	     1.3 	   7.5 	     1.6 	     1.6 	   -8.3 	  1.1 	  1.1 	 0.86 	 0.36 	  167.0 	   25.0 	  25.0 	   9.0 	    3.0 	    4.0 	 100.0 	  67.0 	 191.0 	  418 	  0.18 	  0.18 	  0.18 	   18.0 	   22.0 	   39.0 	             True 	
	  M31 	        M32 	 00h42m41.8s 	 +40d51m55.0s 	 24.53 	    0.21 	    0.21 	 0.25 	 0.02 	 0.02 	  11.1 	         	         	  92.0 	     5.0 	     5.0 	  -16.4 	  0.2 	  0.2 	      	      	  110.0 	   16.0 	  16.0 	 861.0 	  147.0 	  164.0 	   5.4 	   1.3 	   1.7 	   26 	 310.0 	  57.0 	  57.0 	 1670.0 	  510.0 	  610.0 	             True 	
	  M31 	    NGC 147 	 00h33m12.1s 	 +48d30m32.0s 	 24.15 	    0.09 	    0.09 	 0.41 	 0.02 	 0.02 	  21.2 	         	         	  16.0 	     1.0 	     1.0 	 -14.65 	 0.13 	 0.13 	      	      	  623.0 	        	       	 148.0 	   18.0 	   19.0 	   4.8 	   0.8 	   0.9 	  140 	  61.9 	   7.4 	   7.4 	  297.0 	   61.0 	   66.0 	             True 	
	  M31 	    NGC 185 	 00h38m58.0s 	 +48d20m15.0s 	 23.95 	    0.09 	    0.09 	 0.15 	 0.01 	 0.01 	  20.8 	         	         	  24.0 	     1.0 	     1.0 	 -14.75 	 0.13 	 0.13 	      	      	  457.0 	        	       	 245.0 	   20.0 	   20.0 	   7.2 	   1.0 	   1.1 	  184 	  67.9 	   8.1 	   8.1 	  489.0 	   90.0 	   95.0 	             True 	
	  M31 	    NGC 205 	 00h40m22.1s 	 +41d41m07.0s 	 24.58 	    0.07 	    0.07 	 0.43 	  0.1 	  0.1 	  19.2 	         	         	  35.0 	     5.0 	     5.0 	 -16.48 	 0.12 	 0.12 	      	      	  590.0 	   16.0 	  16.0 	 667.0 	  178.0 	  209.0 	   4.0 	   1.1 	   1.4 	   45 	 334.0 	  37.0 	  37.0 	 1340.0 	  400.0 	  490.0 	             True 	
	  ISO 	   NGC 6822 	 19h44m56.6s 	 -14d47m21.0s 	 23.78 	    0.05 	    0.05 	 0.28 	 0.15 	 0.15 	  22.5 	    0.04 	    0.04 	  23.2 	     1.2 	     1.2 	 -16.47 	 0.08 	 0.08 	 0.73 	 0.02 	   0.02 	 1980.0 	  45.0 	 992.0 	  101.0 	  105.0 	   6.0 	   0.7 	   0.8 	  563 	 331.0 	  24.0 	  24.0 	 1990.0 	  270.0 	  300.0 	            False 	
	  ISO 	    Peg DIG 	 23h28m36.3s 	 +14d44m35.0s 	 24.77 	    0.04 	    0.04 	 0.56 	 0.05 	 0.05 	  23.3 	    0.05 	    0.05 	  12.3 	     1.1 	     1.2 	  -13.6 	  0.1 	  0.1 	 0.77 	 0.03 	  995.0 	   25.0 	  25.0 	 140.0 	   25.0 	   28.0 	  12.0 	   2.0 	   3.0 	  463 	  23.6 	   2.2 	   2.2 	  283.0 	   54.0 	   76.0 	            False 	
	  ISO 	    Phoenix 	 01h51m06.3s 	 -44d26m41.0s 	 23.06 	    0.12 	    0.12 	  0.3 	 0.03 	 0.03 	  25.8 	         	         	   9.3 	     0.7 	     0.7 	  -9.89 	 0.42 	 0.42 	      	      	  274.0 	   18.0 	  18.0 	  22.0 	    3.0 	    4.0 	  57.0 	  19.0 	  30.0 	  409 	  0.77 	   0.3 	   0.3 	   44.0 	   23.0 	   29.0 	            False 	
	  ISO 	    Sag DIG 	 19h29m59.0s 	 -17d40m51.0s 	 25.39 	    0.08 	    0.08 	 0.56 	 0.18 	 0.18 	  24.1 	     0.7 	     0.7 	   9.4 	     1.1 	     1.5 	  -11.4 	  0.2 	  0.2 	 0.75 	 0.07 	  497.0 	   34.0 	  34.0 	  40.0 	   11.0 	   12.0 	  26.0 	   9.0 	  12.0 	 1190 	   3.1 	  0.57 	  0.57 	   81.0 	   32.0 	   40.0 	            False 	
	   MW 	    Sag Sph 	 18h55m19.5s 	 -30d32m43.0s 	  17.1 	    0.15 	    0.15 	 0.64 	 0.02 	 0.02 	  25.2 	     0.3 	     0.3 	  11.4 	     0.7 	     0.7 	  -13.5 	  0.3 	  0.3 	      	      	 2600.0 	  200.0 	 200.0 	 316.0 	   43.0 	   48.0 	  29.0 	   9.0 	  12.0 	   19 	  21.5 	   5.9 	   5.9 	  620.0 	  260.0 	  310.0 	             True 	
	   MW 	   Sculptor 	 01h00m09.4s 	 -33d42m33.0s 	 19.67 	    0.14 	    0.14 	 0.37 	 0.01 	 0.01 	 23.29 	    0.15 	    0.15 	   9.2 	     0.2 	     0.2 	 -10.82 	 0.14 	 0.14 	 1.16 	 0.01 	  308.0 	   21.0 	  21.0 	  32.0 	    8.0 	    9.0 	  27.0 	   9.0 	   9.0 	   86 	  1.82 	  0.23 	  0.23 	   49.0 	   18.0 	   18.0 	             True 	
	  ISO 	     Tucana 	 22h41m49.6s 	 -64d25m10.0s 	 24.74 	    0.12 	    0.12 	 0.48 	 0.03 	 0.03 	  25.0 	     0.1 	     0.1 	  15.8 	     3.1 	     4.1 	  -9.54 	 0.25 	 0.25 	      	      	  284.0 	   54.0 	  54.0 	  64.0 	   27.0 	   37.0 	 232.0 	 113.0 	 168.0 	  883 	  0.56 	  0.13 	  0.13 	  130.0 	   70.0 	   99.0 	             True 	
	  ISO 	   UGC 4879 	 09h16m02.2s 	 +52d50m24.0s 	 25.42 	    0.06 	    0.06 	 0.43 	  0.6 	  0.6 	  22.7 	     0.9 	     0.9 	   9.6 	     1.2 	     1.3 	  -11.7 	  0.6 	  0.6 	 1.28 	 0.17 	  400.0 	   35.0 	  35.0 	  34.0 	    9.0 	   10.0 	  17.0 	   7.0 	  13.0 	 1219 	   4.1 	   2.3 	   2.3 	   70.0 	   49.0 	   66.0 	            False 	
	   MW 	 Ursa Minor 	 15h09m08.5s 	 +67d13m21.0s 	  19.4 	     0.1 	     0.1 	 0.55 	 0.01 	 0.01 	 25.77 	    0.08 	    0.08 	   9.5 	     1.2 	     1.2 	  -9.03 	 0.12 	 0.12 	 0.82 	 0.01 	  382.0 	   18.0 	  18.0 	  32.0 	    8.0 	    9.0 	 183.0 	  47.0 	  56.0 	   78 	  0.35 	 0.039 	 0.039 	   64.0 	   18.0 	   21.0 	             True 	
	  ISO 	        WLM 	 00h01m58.2s 	 -15d27m39.0s 	 24.85 	    0.05 	    0.05 	 0.54 	 0.06 	 0.06 	  22.7 	     0.5 	     0.5 	  17.5 	     2.0 	     2.0 	 -14.52 	 0.15 	 0.15 	 0.77 	 0.04 	 1114.0 	   44.0 	  44.0 	 300.0 	   36.0 	   37.0 	  10.0 	   0.9 	   1.5 	  835 	  55.0 	   7.6 	   7.6 	  550.0 	   91.0 	  110.0 	             True 	
